transaction_id,booking_jurisdiction,regulator,booking_datetime,value_date,amount,currency,channel,product_type,originator_name,originator_account,originator_country,beneficiary_name,beneficiary_account,beneficiary_country,swift_mt,ordering_institution_bic,beneficiary_institution_bic,swift_f50_present,swift_f59_present,swift_f70_purpose,swift_f71_charges,travel_rule_complete,fx_indicator,fx_base_ccy,fx_quote_ccy,fx_applied_rate,fx_market_rate,fx_spread_bps,fx_counterparty,customer_id,customer_type,customer_risk_rating,customer_is_pep,kyc_last_completed,kyc_due_date,edd_required,edd_performed,sow_documented,purpose_code,narrative,is_advised,product_complex,client_risk_profile,suitability_assessed,suitability_result,product_has_va_exposure,va_disclosure_provided,cash_id_verified,daily_cash_total_customer,daily_cash_txn_count,sanctions_screening,suspicion_determined_datetime,str_filed_datetime,risk_score,risk_reasoning,suspicion_confidence,flagged,assigned_team
ad66338d-b17f-47fc-a966-1b4395351b41,HK,HKMA/SFC,2024-10-10T10:24:43,10/10/2024,590012.92,HKD,RTGS,fx_conversion,Meredith Krueger,GB91GCCI85456233719196,AE,Natalie Sandoval,GB80LAUP42959382164081,CN,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-786015,corporate,Low,False,2023-01-16,2023-07-15,False,True,True,SAL,Least charge music anything wish practice.,False,False,Low,True,match,False,True,True,0.0,1,potential,,,92,"The transaction triggers several regulatory red flags. 1) HKMA‑R‑009 requires CDD for any transaction over HK$120,000; the customer’s KYC was last completed on 16/01/2023 and was due 15/07/2023, so the KYC is overdue and not up‑to‑date. 2) MAS‑WIRE‑01 mandates recording the originator’s address, ID number and date/place of birth for transfers above HK$8,000; these fields are missing. 3) AML‑SUS‑04 flags transactions involving high‑risk jurisdictions – the originator is from the UAE and the beneficiary from China – and the transaction is large (HK$590,012.92). 4) MAS‑EDD‑01 requires enhanced due diligence for high‑risk jurisdictions; although EDD was performed, the missing originator details suggest it may be incomplete. 5) HKMA‑R‑007 requires identification and verification of all customers; the overdue KYC and missing originator data violate this rule. 6) The sanctions screening result is “potential”, indicating a possible sanctions risk that has not been resolved. 7) The transaction is a wire transfer above the HK$8,000 threshold, so all wire‑transfer specific controls (MAS‑WIRE‑01, MAS‑WIRE‑02) apply. 8) The swift fields for purpose (F70) and charges (F71) are missing, which is a compliance gap. 9) No STR has been filed despite the high‑risk indicators. 10) The transaction is not flagged as suspicious yet, but the combination of overdue KYC, missing data, high‑risk jurisdictions, and potential sanctions exposure places it in the very high‑risk category (86‑100).",0.00085997215,0,
135cef35-c054-46f0-8d8d-daedb7429de4,SG,MAS,2024-02-23T23:56:23,23/2/2024,1319007.62,GBP,SWIFT,fx_conversion,Jennifer Parker,GB39OOLA52427580832378,TH,George Brown,GB88KUDJ48147748190437,CN,,,,True,True,,,True,True,CNY,JPY,0.674205,0.673868,5,Chan-Reed,CUST-278449,domiciliary_company,Low,False,2021-12-25,2022-06-23,False,True,True,EDU,My why building or health couple record talk allow institution.,False,False,High,True,match,False,True,True,0.0,1,none,,,92,"The transaction triggers several MAS CDD and wire‑transfer obligations that are not fully satisfied:

1. **MAS‑CDD‑01** – The transaction exceeds the S1,500 cross‑border wire threshold and the customer’s KYC is overdue (last completed 25/12/2021, due 23/6/2022). Full CDD is required, yet the record shows the customer as low risk and the KYC status is not current.
2. **MAS‑CDD‑02** – The customer is a domiciliary company; the beneficial owner details are missing from the file. This omission violates the requirement to identify and verify ultimate beneficial owners for legal persons.
3. **MAS‑CDD‑05** – The client risk profile is marked as ""High"" while the system applies simplified CDD (edd_required = false). Simplified CDD is only permissible for low‑risk customers, so this is a direct rule breach.
4. **MAS‑CDD‑03 / MAS‑CDD‑04** – Although the customer is not a PEP and the jurisdictions (Thailand, China) are not FATF high‑risk, the high client risk rating and the large transaction amount still trigger enhanced due diligence under MAS‑CDD‑01.
5. **MAS‑WIRE‑01 / MAS‑WIRE‑02** – The originator and beneficiary details are present, so wire‑transfer compliance is met, but the lack of up‑to‑date KYC and missing beneficial owner information elevate the risk.
6. **MAS‑STR‑01** – No STR has been filed yet, but the red flags (large amount, overdue KYC, missing beneficial owner, high risk profile) strongly suggest that an STR should be considered.

Given the multiple rule violations, the high transaction value, and the incomplete customer due diligence, the risk score is placed in the very high range (92).",0.0035845544,0,
f037efc0-8438-4af3-9f68-959cd9c9dcb2,CH,FINMA,2024-06-26T23:40:37,26/6/2024,233935.3,GBP,FAST (SG),wire_transfer,Nicole Guerra DVM,GB61CLBF11432797139540,VN,Candace Nichols,GB75GNZJ38259031799913,CH,MT202COV,FPLQBQHF,GYXPRCKK,True,True,Say Congress where goal address.,BEN,True,True,EUR,SGD,0.96992,0.967501,25,Perez and Sons,CUST-398810,corporate,Low,False,2023-04-02,2023-09-29,False,True,True,INV,Fish analysis billion threat hear daughter send say what.,False,False,Low,True,match,False,True,True,0.0,1,potential,,,85,"The transaction originates from Vietnam, a high‑risk jurisdiction, and is a wire transfer to Switzerland. Under FINMA‑RISK‑02 the institution must trigger Enhanced Due Diligence (EDD) when a high‑risk jurisdiction exposure exceeds the defined tolerance. The transaction has EDD required set to false, yet EDD was performed, indicating a mismatch and a failure to follow the prescribed risk tolerance and KRI monitoring. FINMA‑RISK‑03 requires an exception request and board approval for any high‑risk transaction that breaches tolerance; no exception documentation is present. The sanctions screening result is ""potential"", which is a red flag that should have triggered EDD or an exception process. Additionally, the purpose narrative is nonsensical and the swift_f70 purpose field is vague, raising concerns about the transaction’s legitimacy. These gaps and red flags place the transaction in the high‑risk category (85–95% threshold) with key documentation missing and rule violations present.",0.012980762,0,
f7589c12-dccb-4ae1-8ad3-324db3316a56,HK,HKMA/SFC,2024-05-03T00:08:29,3/5/2024,1778002.31,GBP,SEPA,fx_conversion,Jeremy Williams,GB56TQOT03483189875583,AU,Connor Smith,GB19HQGX56751391902097,US,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-337880,individual,Low,False,2021-01-29,2021-07-28,False,True,True,TAX,Behind billion security film of magazine with forward morning music.,False,False,Balanced,True,match,False,True,True,0.0,1,none,,,60,"The transaction exceeds the HK$8,000 threshold (≈HK$13.2M) and therefore triggers MAS‑WIRE‑01, which requires complete originator and beneficiary details – these are provided. However, the customer’s KYC was last completed on 29/01/2021 and was due on 28/07/2021, meaning the KYC is now overdue. Under HKMA‑R‑009, a large value transfer (≥HK$8,000) requires CDD to be current; an expired KYC constitutes a compliance gap and warrants enhanced scrutiny. No PEP or high‑risk jurisdiction flags are present, so EDD is not mandated by HKMA‑R‑010 or MAS‑EDD‑01. The transaction is otherwise routine, with no structuring, sanctions, or suspicious patterns. The primary risk factor is the outdated KYC, which elevates the assessment to the medium‑risk band (46‑65).",0.000526449,0,
66f1c2c5-6585-40e9-9b9d-4ec10c6fdbae,SG,MAS,2024-12-03T13:58:10,3/12/2024,2479099.4,HKD,RTGS,fx_conversion,Mr. John Turner MD,GB30TZUH89833514426746,HK,Roy Rodriguez,GB60ORBY07341123489694,DE,,,,True,True,,,True,True,SGD,CHF,1.354146,1.352118,15,Dean-Lowery,CUST-971549,individual,Low,True,2023-10-20,2024-10-19,True,True,True,TAX,Movement success popular senior whole buy similar.,False,False,High,True,match,False,True,True,0.0,1,potential,,,78,"The transaction triggers several high‑risk regulatory requirements. MAS‑CDD‑01 mandates full CDD for any transaction over S20,000, which is satisfied as the amount is S2.48 m. The customer is a PEP, so MAS‑CDD‑03 requires EDD, which has been performed. However, the wire transfer fails to provide complete originator and beneficiary details (missing address and ID number) as required by MAS‑WIRE‑01, and the absence of BICs and incomplete SWIFT fields raises a red flag under MAS‑WIRE‑02. The sanctions screening result is ""potential"", indicating a possible sanctions hit that would trigger an STR under MAS‑STR‑01. These gaps represent key documentation deficiencies and potential regulatory violations, pushing the risk into the high‑risk band (66‑85). The presence of EDD and other compliance controls mitigates the score slightly, but the missing core data and sanctions concern keep the risk at 78.",0.0035895274,0,
15ce0bc5-e37b-4279-90ee-e5d289713d46,SG,MAS,2024-06-02T12:05:23,2/6/2024,1991250.25,CHF,SEPA,fund_subscription,Kimberly Rogers,GB60UEDX03084750618054,US,Becky Bass,GB72ZEFA84705917257543,TH,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-314021,corporate,Medium,False,2022-10-10,2023-10-10,False,True,True,LEA,Four cover improve leave career issue world hot police with.,False,True,Low,True,match,True,False,True,0.0,1,none,,,75,"The transaction exceeds the S20,000 threshold (MAS‑CDD‑01) and is a large cross‑border transfer, so full CDD is mandatory. While KYC is current, the record does not contain beneficial‑owner details (MAS‑CDD‑02) and the originator/beneficiary ID numbers and addresses are missing, violating MAS‑WIRE‑01 and triggering MAS‑WIRE‑02. Additionally, the product has value‑added exposure but no disclosure was provided (violation of internal disclosure requirements). These gaps, combined with the high transaction amount, elevate the risk to the high‑risk band (66‑85).",0.004752594,0,
ab58ad97-aef7-49bf-a177-60f1e2d6c797,CH,FINMA,2024-02-21T21:07:34,21/2/2024,299182.31,CNY,FAST (SG),securities_trade,Glenn Graham,GB18FCDE63247865245111,HK,Jason Herman MD,GB55AUUF48704717868696,JP,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-765698,domiciliary_company,Low,False,2021-01-19,2023-01-19,False,True,True,MED,Thank never ability edge rate stage summer again.,False,False,Balanced,True,match,False,True,True,0.0,1,none,,,35,"The transaction satisfies most FINMA requirements: the customer is a low‑risk domiciliary company, KYC has been performed (though the last completion date is overdue, which is a minor compliance gap), no sanctions screening issues, and the transaction is a standard securities trade with no product complexity or VA exposure. The originator and beneficiary are in high‑risk jurisdictions (HK and JP), but the bank’s risk analysis (FINMA‑RISK‑01) would flag these categories and the KRI dashboard (FINMA‑RISK‑02) would monitor exposure limits. No KRI threshold is exceeded, so no EDD trigger is required (FINMA‑RISK‑02). No exception request is needed (FINMA‑RISK‑03). The transaction is within the annual review cycle and does not trigger consolidated risk concerns (FINMA‑RISK‑05). The only red flag is the overdue KYC due date, which slightly elevates the risk but remains within the low‑risk band (26‑45). Hence a risk score of 35 is assigned.",0.0015613337,0,
0dc32466-81f2-4749-8cc7-964c79d0f008,HK,HKMA/SFC,2024-06-14T00:18:25,14/6/2024,9428.14,GBP,Cash,cash_deposit,Michael Bennett,GB30HXVR68088439228730,IR,Vanessa Kim,GB86PGCT62374347986076,TH,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-790068,individual,Low,False,2020-11-10,2022-11-10,False,True,True,EDU,Onto serious deal federal say six certain anything born.,False,False,High,True,match,False,True,True,30585.96,5,potential,,,50,LLM failed to respond,0.0029943858,0,
e8db37cf-2a87-404b-af55-bc48ed06a1e1,SG,MAS,2025-01-26T12:14:06,26/1/2025,1246895.32,HKD,FPS (HK),fund_subscription,Jimmy Hart,GB37PMHN24174670808707,RU,Michael White,GB72ISXP89877669817370,RU,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-351699,domiciliary_company,Medium,False,2024-03-25,2026-03-25,False,True,True,INV,Democratic and street heavy foreign become member north pick.,False,True,High,True,match,False,True,True,0.0,1,potential,,,85,"The transaction triggers several high‑risk indicators under MAS rules. The amount (HKD 1,246,895.32) exceeds the S20,000 threshold in MAS‑CDD‑01, requiring full CDD and EDD for a cross‑border transfer. Both originator and beneficiary are from Russia, a FATF‑listed high‑risk jurisdiction, so MAS‑CDD‑04 mandates EDD, additional source‑of‑funds verification and senior‑management approval – none of which are documented. The customer is a domiciliary company (MAS‑CDD‑02) and no beneficial‑owner details are provided, creating a compliance gap. The sanctions screening result is “potential”, a red flag that would normally trigger an STR (MAS‑STR‑01). Although EDD is marked as performed, the absence of documented source‑of‑funds checks, senior‑management sign‑off, and beneficial‑owner information suggests incomplete EDD. The transaction also involves a high‑risk jurisdiction and a large single payment, aligning with the risk thresholds for MAS‑WIRE‑01 and MAS‑WIRE‑02. These combined factors place the transaction in the 85–95% risk band, warranting a high‑risk score of 85.",0.00092493143,0,
5a5ba79d-09f6-46ba-bc74-e715f721ec34,CH,FINMA,2024-10-29T23:23:38,29/10/2024,20000.0,CHF,FPS (HK),cash_deposit,Johnathan Arroyo,GB87LHNX15336217030570,CN,Thomas Thomas,GB53PNBY13656877808614,VN,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-352944,domiciliary_company,Low,False,2021-04-10,2022-04-10,False,True,True,GDS,Hope letter production wind special discuss boy man black audience.,False,False,Low,True,match,False,True,False,0.0,1,none,,,75,"The transaction triggers several red flags under FINMA regulations. Under FINMA‑RISK‑01 the originator (CN) and beneficiary (VN) are high‑risk jurisdictions, and the product is a cash deposit via a foreign channel (FPS (HK)), which increases inherent risk. FINMA‑RISK‑02 requires that any exposure to high‑risk categories be monitored against defined tolerance limits; the KYC for the customer is overdue (due date 10/4/2022) and cash‑ID verification is missing, indicating that the customer’s risk profile may not be accurately assessed and that the transaction may exceed tolerance thresholds. FINMA‑RISK‑03 mandates an exception process and EDD for any case that falls outside tolerance; although EDD was performed, it was not flagged as required, suggesting a procedural gap. The combination of high‑risk jurisdictions, overdue KYC, missing cash‑ID verification, and the lack of a formal EDD trigger for this transaction places it in the high‑risk band (66‑85).",0.018283816,0,
