transaction_id,booking_jurisdiction,regulator,booking_datetime,value_date,amount,currency,channel,product_type,originator_name,originator_account,originator_country,beneficiary_name,beneficiary_account,beneficiary_country,swift_mt,ordering_institution_bic,beneficiary_institution_bic,swift_f50_present,swift_f59_present,swift_f70_purpose,swift_f71_charges,travel_rule_complete,fx_indicator,fx_base_ccy,fx_quote_ccy,fx_applied_rate,fx_market_rate,fx_spread_bps,fx_counterparty,customer_id,customer_type,customer_risk_rating,customer_is_pep,kyc_last_completed,kyc_due_date,edd_required,edd_performed,sow_documented,purpose_code,narrative,is_advised,product_complex,client_risk_profile,suitability_assessed,suitability_result,product_has_va_exposure,va_disclosure_provided,cash_id_verified,daily_cash_total_customer,daily_cash_txn_count,sanctions_screening,suspicion_determined_datetime,str_filed_datetime,risk_score,risk_reasoning,suspicion_confidence,flagged,assigned_team
ad66338d-b17f-47fc-a966-1b4395351b41,HK,HKMA/SFC,2024-10-10T10:24:43,10/10/2024,590012.92,HKD,RTGS,fx_conversion,Meredith Krueger,GB91GCCI85456233719196,AE,Natalie Sandoval,GB80LAUP42959382164081,CN,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-786015,corporate,Low,False,2023-01-16,2023-07-15,False,True,True,SAL,Least charge music anything wish practice.,False,False,Low,True,match,False,True,True,0.0,1,potential,,,85,"The transaction triggers several high‑risk indicators. The amount (HK$590,012.92) exceeds the HK$120,000 threshold (AML‑R‑009) and the originator (AE) and beneficiary (CN) are high‑risk jurisdictions, activating AML‑SUS‑04 which requires investigation and EDD. The customer’s KYC is overdue by more than a year (due date 15/7/2023) and the sanctions screening returned a ‘potential’ flag, yet no STR has been filed (AML‑SUS‑04, MAS‑WIRE‑01). Beneficial owner information for the corporate customer is not provided, violating HKMA‑R‑008. The FX product type is declared as fx_conversion but FX details (base/quote currencies, rate, purpose field F70) are missing, indicating incomplete transaction documentation. Although EDD was performed, the lack of timely KYC, potential sanctions exposure, and missing key data points elevate the risk to the high‑risk band (66‑85).",0.0008804254,0,
135cef35-c054-46f0-8d8d-daedb7429de4,SG,MAS,2024-02-23T23:56:23,23/2/2024,1319007.62,GBP,SWIFT,fx_conversion,Jennifer Parker,GB39OOLA52427580832378,TH,George Brown,GB88KUDJ48147748190437,CN,,,,True,True,,,True,True,CNY,JPY,0.674205,0.673868,5,Chan-Reed,CUST-278449,domiciliary_company,Low,False,2021-12-25,2022-06-23,False,True,True,EDU,My why building or health couple record talk allow institution.,False,False,High,True,match,False,True,True,0.0,1,none,,,90,"The transaction triggers several MAS rules that are not fully complied with:
- **MAS-CDD-01**: The amount (GBP 1,319,007.62) far exceeds the S20,000 threshold, yet full CDD documentation (ID card, proof of address, beneficial owner details) is missing. The KYC is overdue (due date 23/6/2022), indicating a lapse in ongoing compliance.
- **MAS-CDD-02**: The customer is a domiciliary company with no documented beneficial owner information, violating the requirement to identify and verify ultimate beneficial owners for legal persons.
- **MAS-WIRE-01**: The SWIFT message lacks originator and beneficiary ID numbers, which are mandatory for cross‑border transfers. This omission breaches the requirement for complete originator/beneficiary details.
- **MAS-WIRE-02**: Because the transfer lacks required information, it should be investigated or suspended, and an STR should be considered. No STR has been filed.
- **MAS-REC-01**: Records of the missing CDD and KYC details are not retained, violating the five‑year retention rule.
- **MAS-STR-01**: No STR has been filed despite the red flags, which is a direct violation of the reporting obligation.

These multiple rule violations, combined with the large transaction size, high client risk profile, and missing documentation, place the transaction in the ""Very High Risk"" category (86‑100). Hence a risk score of 90 is assigned.",0.0042277016,0,
f037efc0-8438-4af3-9f68-959cd9c9dcb2,CH,FINMA,2024-06-26T23:40:37,26/6/2024,233935.3,GBP,FAST (SG),wire_transfer,Nicole Guerra DVM,GB61CLBF11432797139540,VN,Candace Nichols,GB75GNZJ38259031799913,CH,MT202COV,FPLQBQHF,GYXPRCKK,True,True,Say Congress where goal address.,BEN,True,True,EUR,SGD,0.96992,0.967501,25,Perez and Sons,CUST-398810,corporate,Low,False,2023-04-02,2023-09-29,False,True,True,INV,Fish analysis billion threat hear daughter send say what.,False,False,Low,True,match,False,True,True,0.0,1,potential,,,55,"The transaction triggers several moderate red‑flags under FINMA’s AML framework. 

1. **FINMA‑RISK‑01** – The risk analysis must cover client domicile and sanctions exposure. The originator is from Vietnam, a jurisdiction that is typically classified as higher risk, and the sanctions screening result is ""potential"". This indicates a possible sanctions violation that should be flagged in the risk analysis.

2. **FINMA‑RISK‑02** – Key risk indicators for high‑risk jurisdictions and client segments must be monitored. The presence of a potential sanctions flag and the cross‑border nature of the transfer (originator in VN, beneficiary in CH) would push the transaction toward the high‑risk KRI thresholds. Although the customer risk rating is low and EDD was performed, the potential sanctions exposure still elevates the risk.

3. **Narrative and purpose code** – The narrative is nonsensical and the swift F70 purpose field contains an unrelated statement. While not a direct rule violation, such anomalies are typical indicators of suspicious activity and increase the overall risk assessment.

4. **Compliance controls** – The transaction meets most documentation requirements (SWIFT F50/F59 present, travel rule complete, EDD performed, SOW documented). However, the potential sanctions flag is not fully resolved in the provided data, leaving a gap that could trigger an exception or additional monitoring.

Given these factors, the transaction falls into the **Medium Risk** band (46‑65). It does not reach the high‑risk threshold (≥66) because the customer is low risk, the transaction amount is moderate, and EDD has already been performed. Nonetheless, the potential sanctions exposure and anomalous narrative warrant closer monitoring and a higher risk score than a fully compliant transaction would receive.",0.0073221996,0,
f7589c12-dccb-4ae1-8ad3-324db3316a56,HK,HKMA/SFC,2024-05-03T00:08:29,3/5/2024,1778002.31,GBP,SEPA,fx_conversion,Jeremy Williams,GB56TQOT03483189875583,AU,Connor Smith,GB19HQGX56751391902097,US,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-337880,individual,Low,False,2021-01-29,2021-07-28,False,True,True,TAX,Behind billion security film of magazine with forward morning music.,False,False,Balanced,True,match,False,True,True,0.0,1,none,,,55,"The transaction is a large FX conversion (GBP 1,778,002.31 ≈ HK$13.2M) which triggers the HKMA/SFC thresholds for wire transfers above HK$8,000 (MAS‑WIRE‑01) and for occasional transactions above HK$120,000 (HKMA‑R‑009). While the originator and beneficiary details are supplied and the travel rule is complete, the customer’s KYC was last completed on 29/01/2021 and the due date expired on 28/07/2021. This means the required CDD has not been performed in the current period, constituting a regulatory breach under HKMA‑R‑009. No PEP or high‑risk jurisdiction flags are present, so EDD (HKMA‑R‑010, MAS‑EDD‑01) is not triggered, but the expired KYC still represents a significant compliance gap. The transaction otherwise meets record‑keeping and reporting obligations (MAS‑WIRE‑01, MAS‑REC‑01). Given the single major red flag (out‑of‑date KYC) and the high transaction value, the risk falls into the Medium‑Risk band (46‑65).",0.00024007271,0,
66f1c2c5-6585-40e9-9b9d-4ec10c6fdbae,SG,MAS,2024-12-03T13:58:10,3/12/2024,2479099.4,HKD,RTGS,fx_conversion,Mr. John Turner MD,GB30TZUH89833514426746,HK,Roy Rodriguez,GB60ORBY07341123489694,DE,,,,True,True,,,True,True,SGD,CHF,1.354146,1.352118,15,Dean-Lowery,CUST-971549,individual,Low,True,2023-10-20,2024-10-19,True,True,True,TAX,Movement success popular senior whole buy similar.,False,False,High,True,match,False,True,True,0.0,1,potential,,,85,"The transaction triggers several high‑risk compliance requirements. MAS‑CDD‑01 and MAS‑CDD‑03 mandate full CDD and EDD for a PEP and for amounts above S20,000; these were performed, but the transaction still falls into the high‑risk category. MAS‑WIRE‑01 requires full originator and beneficiary details (name, account number, address, ID number, BIC). The record shows missing address, ID number and BICs for both parties, which is a key compliance gap. MAS‑WIRE‑02 stipulates that any transfer lacking required information must be rejected, suspended, or investigated, and an STR filed if suspicious; the bank has not taken these actions. Additionally, sanctions screening returned a “potential” hit, which under MAS‑STR‑01 obliges the bank to file an STR regardless of amount. The absence of an STR filing and the incomplete transfer details represent rule violations and multiple red flags, placing the transaction in the 85–95% risk threshold (High Risk).",0.004024435,0,
15ce0bc5-e37b-4279-90ee-e5d289713d46,SG,MAS,2024-06-02T12:05:23,2/6/2024,1991250.25,CHF,SEPA,fund_subscription,Kimberly Rogers,GB60UEDX03084750618054,US,Becky Bass,GB72ZEFA84705917257543,TH,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-314021,corporate,Medium,False,2022-10-10,2023-10-10,False,True,True,LEA,Four cover improve leave career issue world hot police with.,False,True,Low,True,match,True,False,True,0.0,1,none,,,90,"The transaction triggers several MAS rules that are not fully satisfied:
- **MAS-CDD-01**: The amount (S1,991,250.25) far exceeds the S20,000 threshold for full CDD. While KYC is still valid, the record lacks a documented beneficial owner list and a formal risk assessment for the corporate customer.
- **MAS-CDD-02**: As a legal person, the customer must have verified beneficial owners. No such documentation is present.
- **MAS-WIRE-01**: The wire transfer message is missing key originator/beneficiary details (address, ID number, BICs). The rule requires these for all cross‑border transfers.
- **MAS-WIRE-02**: Because the transfer lacks required information, the bank is obliged to investigate or suspend the transfer and file an STR if suspicious. No STR has been filed.
- **Product VA exposure**: The product has value‑added exposure but no disclosure was provided, which is a compliance gap.
These multiple gaps and missing documentation place the transaction in the ""Very High Risk"" band (86‑100).",0.008638631,0,
ab58ad97-aef7-49bf-a177-60f1e2d6c797,CH,FINMA,2024-02-21T21:07:34,21/2/2024,299182.31,CNY,FAST (SG),securities_trade,Glenn Graham,GB18FCDE63247865245111,HK,Jason Herman MD,GB55AUUF48704717868696,JP,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-765698,domiciliary_company,Low,False,2021-01-19,2023-01-19,False,True,True,MED,Thank never ability edge rate stage summer again.,False,False,Balanced,True,match,False,True,True,0.0,1,none,,,55,"The transaction originates from Hong Kong, a high‑risk jurisdiction under FINMA’s AML framework, and involves a cross‑border securities trade. According to FINMA‑RISK‑01, the risk analysis must flag such high‑risk client domiciles and product types. While the customer is rated low risk and the transaction is not flagged for enhanced due diligence (EDD_required = false), the KYC data is overdue (last completed 19/01/2021, due 19/01/2023), which is a red flag under FINMA‑RISK‑01 and FINMA‑RISK‑02. The transaction amount (≈CHF 40k) is above typical thresholds for low‑risk clients, potentially breaching the quantitative limits set in FINMA‑RISK‑02, though the exact tolerance is not provided. EDD was performed, which mitigates the risk, but the absence of a formal EDD requirement and the overdue KYC suggest a medium‑risk profile. No sanctions screening issues, no suspicious activity, and the travel rule is complete, which reduces the risk. Overall, the transaction falls into the 46‑65 range (Medium Risk) due to the high‑risk jurisdiction, overdue KYC, and potential tolerance breach, but is mitigated by performed EDD and lack of other red flags.",0.0016218518,0,
0dc32466-81f2-4749-8cc7-964c79d0f008,HK,HKMA/SFC,2024-06-14T00:18:25,14/6/2024,9428.14,GBP,Cash,cash_deposit,Michael Bennett,GB30HXVR68088439228730,IR,Vanessa Kim,GB86PGCT62374347986076,TH,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-790068,individual,Low,False,2020-11-10,2022-11-10,False,True,True,EDU,Onto serious deal federal say six certain anything born.,False,False,High,True,match,False,True,True,30585.96,5,potential,,,90,"The transaction presents several high‑risk indicators that collectively push the risk score into the very high range:

1. **High‑risk jurisdiction** – The originator is from Iran (IR), a country on the HKMA/SFC sanctions list.  Under **HKMA‑R‑010** and **AML‑SUS‑04** any transaction involving a high‑risk jurisdiction must trigger enhanced due diligence (EDD) and a suspicious transaction report (STR).  Although EDD was performed, the potential sanctions match was not escalated or reported, constituting a regulatory breach.

2. **Sanctions screening flagged as “potential”** – The sanctions check returned a potential match.  According to **MAS‑VA‑06** and **AML‑SUS‑04**, a potential sanctions match requires immediate investigation and STR filing.  The absence of an STR (str_filed_datetime is null) is a clear violation.

3. **Out‑of‑date KYC** – The customer’s last KYC was completed on 10/11/2020 and was due on 10/11/2022.  Under **AML‑CDD‑01** and **HKMA‑R‑009** all customers must have current CDD records before any transaction.  The overdue KYC represents a compliance gap.

4. **High daily cash exposure** – The customer’s daily cash total is HK$30,585.96 with 5 transactions, well above the HK$8,000 threshold for high‑value cash movements.  **AML‑SUS‑04** requires investigation of structuring or rapid movement of funds, which is not documented.

5. **Missing STR** – No STR was filed despite the transaction involving a high‑risk jurisdiction, a potential sanctions match, and a high daily cash volume.  This omission violates **AML‑SUS‑04** and **MAS‑VA‑06**.

6. **Potential EDD requirement** – While EDD was performed, the transaction still falls under the high‑risk jurisdiction rule, and the institution should have documented the EDD findings and the rationale for proceeding.

Given the combination of sanctions exposure, overdue KYC, high daily cash volume, and the failure to file an STR, the transaction is assessed as **very high risk (score 90)**.  Immediate remedial action, including a full internal investigation, STR filing, and KYC update, is required to mitigate regulatory penalties and reputational damage.",0.013438473,0,
e8db37cf-2a87-404b-af55-bc48ed06a1e1,SG,MAS,2025-01-26T12:14:06,26/1/2025,1246895.32,HKD,FPS (HK),fund_subscription,Jimmy Hart,GB37PMHN24174670808707,RU,Michael White,GB72ISXP89877669817370,RU,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-351699,domiciliary_company,Medium,False,2024-03-25,2026-03-25,False,True,True,INV,Democratic and street heavy foreign become member north pick.,False,True,High,True,match,False,True,True,0.0,1,potential,,,80,"The transaction triggers several high‑risk indicators under MAS rules. 

1. **MAS‑CDD‑01** – The amount (≈S$159,000) far exceeds the S$20,000 threshold, requiring full CDD and EDD.  The bank has performed EDD, but the data does not confirm that beneficial owners of the domiciliary company have been identified, which is a requirement under **MAS‑CDD‑02**.  The absence of documented beneficial owner details is a red flag.

2. **MAS‑CDD‑04** – Both originator and beneficiary are from Russia, a jurisdiction flagged by FATF for inadequate AML/CFT measures.  This elevates the transaction to high‑risk status and mandates EDD.  While EDD is reported as performed, the lack of evidence of source‑of‑funds verification for a high‑risk jurisdiction remains a concern.

3. **MAS‑STR‑01** – Sanctions screening returned a ""potential"" hit.  Under MAS, any transaction with a potential sanctions or adverse media hit must be investigated and, if suspicious, an STR filed.  No STR has been filed yet, indicating a compliance gap.

4. **MAS‑WIRE‑01 / MAS‑WIRE‑02** – The transaction is a cross‑border transfer (FPS to a Russian account).  Full originator and beneficiary details are present, but BICs are missing.  While not a direct violation, the incomplete wire‑transfer metadata could trigger a review under MAS‑WIRE‑02.

5. **Product complexity** – The transaction is a fund subscription with a complex product structure and a high client risk profile.  This adds to the overall risk assessment.

Given the large amount, high‑risk jurisdiction, potential sanctions hit, and incomplete documentation on beneficial owners, the transaction sits in the **High‑Risk (66‑85)** band, scoring 80 on the 0‑100 scale.",0.0009919348,0,
5a5ba79d-09f6-46ba-bc74-e715f721ec34,CH,FINMA,2024-10-29T23:23:38,29/10/2024,20000.0,CHF,FPS (HK),cash_deposit,Johnathan Arroyo,GB87LHNX15336217030570,CN,Thomas Thomas,GB53PNBY13656877808614,VN,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-352944,domiciliary_company,Low,False,2021-04-10,2022-04-10,False,True,True,GDS,Hope letter production wind special discuss boy man black audience.,False,False,Low,True,match,False,True,False,0.0,1,none,,,75,"The transaction involves high‑risk jurisdictions (originator CN and beneficiary VN) and a cash deposit via FPS (HK), which are flagged by FINMA‑RISK‑01 as categories that should trigger enhanced due diligence (EDD). The record shows EDD_required = false yet EDD_performed = true, indicating a procedural mismatch and a potential oversight in the risk analysis. Additionally, the customer’s KYC is overdue (last completed 10/4/2021, due 10/4/2022), which violates the KYC maintenance requirement and could breach the KRI thresholds set under FINMA‑RISK‑02. The lack of cash ID verification and the fact that the transaction is a single 20,000 CHF cash deposit further elevate the risk profile. These gaps and red flags place the transaction in the high‑risk band (66‑85) according to the scoring guidelines.",0.018283816,0,
