transaction_id,booking_jurisdiction,regulator,booking_datetime,value_date,amount,currency,channel,product_type,originator_name,originator_account,originator_country,beneficiary_name,beneficiary_account,beneficiary_country,swift_mt,ordering_institution_bic,beneficiary_institution_bic,swift_f50_present,swift_f59_present,swift_f70_purpose,swift_f71_charges,travel_rule_complete,fx_indicator,fx_base_ccy,fx_quote_ccy,fx_applied_rate,fx_market_rate,fx_spread_bps,fx_counterparty,customer_id,customer_type,customer_risk_rating,customer_is_pep,kyc_last_completed,kyc_due_date,edd_required,edd_performed,sow_documented,purpose_code,narrative,is_advised,product_complex,client_risk_profile,suitability_assessed,suitability_result,product_has_va_exposure,va_disclosure_provided,cash_id_verified,daily_cash_total_customer,daily_cash_txn_count,sanctions_screening,suspicion_determined_datetime,str_filed_datetime,risk_score,risk_reasoning
ad66338d-b17f-47fc-a966-1b4395351b41,HK,HKMA/SFC,2024-10-10T10:24:43,10/10/2024,590012.92,HKD,RTGS,fx_conversion,Meredith Krueger,GB91GCCI85456233719196,AE,Natalie Sandoval,GB80LAUP42959382164081,CN,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-786015,corporate,Low,False,16/1/2023,15/7/2023,False,True,True,SAL,Least charge music anything wish practice.,False,False,Low,True,match,False,True,True,0.0,1,potential,,,85,"The transaction triggers several regulatory obligations and exhibits multiple compliance gaps:

1. **MAS‑CDD‑01 (Full CDD for cross‑border wire > S1,500)**
   - Amount: 590,012.92 HKD ≈ 75,600 SGD (1 SGD ≈ 7.8 HKD). 75,600 SGD is 5,040 % above the S1,500 threshold and 3,760 % above the S20,000 threshold.  The rule is therefore fully triggered.
   - Missing documentation: KYC last completed 16/01/2023, due 15/07/2023 – KYC is overdue.  No beneficial‑owner details are provided for the corporate customer.  No address or ID number for originator/beneficiary.
   - Impact: 100 % proximity to rule violation.

2. **MAS‑WIRE‑01 (Full originator/beneficiary details)**
   - Required: name, account number, address, ID number, and BIC for both parties.
   - Provided: only names, account numbers, and countries.  No addresses, ID numbers, or BICs.
   - Impact: 100 % missing critical data.

3. **MAS‑WIRE‑02 (Reject/suspend if missing info)**
   - The missing details trigger the “high‑risk” trigger for this rule.  The transaction should be investigated or suspended.
   - Impact: 100 % compliance gap.

4. **MAS‑CDD‑02 (Beneficial owner identification for legal persons)**
   - No beneficial‑owner list or verification documents are supplied.
   - Impact: 100 % missing requirement.

5. **MAS‑STR‑01 (Suspicious Transaction Report)**
   - Sanctions screening result is “potential”, indicating a possible sanctions hit.  This is a red flag that warrants an STR.
   - No STR has been filed.
   - Impact: 100 % risk of non‑filing.

6. **Other red flags**
   - Sanctions screening “potential” and KYC overdue increase the overall risk.
   - The transaction is a large cross‑border transfer (≈ 75 k SGD) with no clear business rationale provided in the narrative.

**Cumulative risk assessment**
All five key rules are either fully triggered or have critical gaps.  The transaction is far beyond the monetary thresholds, yet the required CDD, beneficial‑owner, and wire‑transfer details are missing.  The sanctions screening potential hit adds an additional layer of suspicion.  Given the multiplicity of violations and the severity of missing documentation, the risk score is positioned in the **High‑Risk (61‑80)** range, but due to the extreme gaps and potential sanctions exposure it is pushed to **Very High (81‑100)**.  A score of **85** reflects the 100 % proximity to rule violations across multiple rules, the 100 % missing documentation, and the 100 % potential sanctions risk.

**Rule references**: MAS‑CDD‑01, MAS‑WIRE‑01, MAS‑WIRE‑02, MAS‑CDD‑02, MAS‑STR‑01."
135cef35-c054-46f0-8d8d-daedb7429de4,SG,MAS,2024-02-23T23:56:23,23/2/2024,1319007.62,GBP,SWIFT,fx_conversion,Jennifer Parker,GB39OOLA52427580832378,TH,George Brown,GB88KUDJ48147748190437,CN,,,,True,True,,,True,True,CNY,JPY,0.674205,0.673868,5,Chan-Reed,CUST-278449,domiciliary_company,Low,False,25/12/2021,23/6/2022,False,True,True,EDU,My why building or health couple record talk allow institution.,False,False,High,True,match,False,True,True,0.0,1,none,,,95,"The transaction is a large cross‑border FX conversion of GBP 1,319,007.62 (≈SGD 1.98 m) far exceeding the MAS‑CDD‑01 thresholds of S20,000 for transaction value and S1,500 for cross‑border wire transfers – 100% above each threshold.  The originator (Jennifer Parker, TH) and beneficiary (George Brown, CN) are from non‑high‑risk jurisdictions, but the customer is a domiciliary company with a *client_risk_profile* of High, triggering EDD under MAS‑CDD‑01 and MAS‑CDD‑04.  The bank’s records show KYC last completed 25/12/2021 with a due date of 23/6/2022, i.e., KYC is overdue by 1.5 years, violating the requirement for up‑to‑date CDD.  Beneficial owner details are not provided, breaching MAS‑CDD‑02.  The SWIFT message lacks ordering and beneficiary BICs, and does not include address or ID number for either party, contravening MAS‑WIRE‑01 and MAS‑WIRE‑02.  Although EDD was performed, the system flags “edd_required” as false, inconsistent with the high‑risk profile and the mandatory EDD requirement.  These multiple gaps (over‑threshold amount, overdue KYC, missing beneficial owner, incomplete SWIFT data, and inconsistent EDD flag) place the transaction at 95–99% proximity to violating several regulatory rules, warranting a Very High Risk score of 95.  The transaction should be immediately investigated, an STR filed, and all missing documentation obtained before further processing."
f037efc0-8438-4af3-9f68-959cd9c9dcb2,CH,FINMA,2024-06-26T23:40:37,26/6/2024,233935.3,GBP,FAST (SG),wire_transfer,Nicole Guerra DVM,GB61CLBF11432797139540,VN,Candace Nichols,GB75GNZJ38259031799913,CH,MT202COV,FPLQBQHF,GYXPRCKK,True,True,Say Congress where goal address.,BEN,True,True,EUR,SGD,0.96992,0.967501,25,Perez and Sons,CUST-398810,corporate,Low,False,2/4/2023,29/9/2023,False,True,True,INV,Fish analysis billion threat hear daughter send say what.,False,False,Low,True,match,False,True,True,0.0,1,potential,,,95,"The transaction triggers several regulatory requirements with significant compliance gaps:

1. **MAS‑CDD‑01** – The cross‑border wire transfer of 233,935.3 GBP (~257,300 CHF) far exceeds the S20,000 threshold (1285% of the limit). Full CDD is mandatory, yet the customer’s KYC is overdue (last completed 02/04/2023, due 29/09/2023) and no beneficial‑owner information is provided. This constitutes a 100 % breach of the rule.

2. **MAS‑CDD‑02** – As a corporate customer, the bank must identify and verify all beneficial owners. The transaction record contains no such details, representing a 100 % violation.

3. **MAS‑WIRE‑01** – The rule requires the originator and beneficiary’s name, account number, address, and ID number. While names and account numbers are present, the address and ID number are missing, a 100 % shortfall.

4. **MAS‑WIRE‑02** – Missing address/ID triggers the requirement to reject, suspend, or investigate the transfer and file an STR if suspicious. No STR has been filed, indicating a 100 % compliance gap.

5. **Sanctions Screening** – The screening result is “potential,” signalling a possible sanctions hit. This red flag alone warrants heightened scrutiny and is treated as a 100 % risk factor.

6. **Other Controls** – The transaction is not flagged for EDD (edd_required=false) but EDD was performed, which is acceptable for a low‑risk customer. However, the lack of a documented risk assessment and the absence of a senior‑management approval for the high‑value transfer add to the risk profile.

Cumulative effect: Multiple 100 % rule breaches plus a high‑value transaction (over 12× the CDD threshold) push the overall risk into the very high range. Therefore, a risk score of **95** is assigned, reflecting the near‑maximum proximity to regulatory violations and the presence of several critical documentation gaps and red flags.
"
f7589c12-dccb-4ae1-8ad3-324db3316a56,HK,HKMA/SFC,2024-05-03T00:08:29,3/5/2024,1778002.31,GBP,SEPA,fx_conversion,Jeremy Williams,GB56TQOT03483189875583,AU,Connor Smith,GB19HQGX56751391902097,US,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-337880,individual,Low,False,29/1/2021,28/7/2021,False,True,True,TAX,Behind billion security film of magazine with forward morning music.,False,False,Balanced,True,match,False,True,True,0.0,1,none,,,95,"The transaction triggers several regulatory obligations with significant gaps:

1. **MAS-CDD-01** – The transaction amount (GBP 1,778,002.31) far exceeds the S20,000 threshold (8890% of the limit) and is a cross‑border wire transfer, which triggers the S1,500 threshold (118,533% of the limit). Full CDD is required, but the customer’s KYC is expired (last completed 29/01/2021, due 28/07/2021) and no current identity documents, address or ID number are provided. This is a clear violation.

2. **MAS-WIRE-01** – The wire transfer message must include the originator’s and beneficiary’s address and ID number. Only names and account numbers are present; address and ID number are missing, violating the rule.

3. **MAS-WIRE-02** – Because the required originator/beneficiary details are incomplete, the transfer should be rejected, suspended, or investigated, and an STR filed if suspicious. No STR has been filed.

4. **MAS-CDD-05** – Although the customer is rated low risk, rule 01 overrides simplified CDD for any transaction over S20,000. Simplified CDD is therefore insufficient.

5. **Missing Documentation** – No ID documents, address proof, or ID numbers are attached; KYC is outdated; no source‑of‑wealth or source‑of‑funds documentation is shown.

6. **Cumulative Risk** – Multiple rule breaches (CDD, wire‑transfer details, outdated KYC) combine to create a very high risk profile. The transaction is 100% close to violating thresholds and has several critical compliance gaps.

Given the severity of the violations and the high proximity to regulatory thresholds, a risk score of 95 is assigned, placing the transaction in the ""Very High Risk"" category (81‑100)."
66f1c2c5-6585-40e9-9b9d-4ec10c6fdbae,SG,MAS,2024-12-03T13:58:10,3/12/2024,2479099.4,HKD,RTGS,fx_conversion,Mr. John Turner MD,GB30TZUH89833514426746,HK,Roy Rodriguez,GB60ORBY07341123489694,DE,,,,True,True,,,True,True,SGD,CHF,1.354146,1.352118,15,Dean-Lowery,CUST-971549,individual,Low,True,20/10/2023,19/10/2024,True,True,True,TAX,Movement success popular senior whole buy similar.,False,False,High,True,match,False,True,True,0.0,1,potential,,,85,"The transaction triggers several high‑risk regulatory requirements and contains multiple compliance gaps:

1. **MAS‑CDD‑01 (Cross‑border wire > S1,500)** – The amount is 2,479,099.4 HKD (~321,000 SGD), which is 21,400 % above the S1,500 threshold.  Full CDD is mandatory and EDD is required for a PEP.  While EDD is marked as performed, the record lacks evidence of:
   - Originator and beneficiary ID numbers (required for identity verification)
   - Beneficial owner details (the PEP is the owner, but source‑of‑wealth documentation is missing)
   - Senior‑management approval for a high‑risk customer
   - Risk‑assessment documentation
   These omissions mean the CDD is incomplete, raising a high‑risk flag.

2. **MAS‑WIRE‑01 & MAS‑WIRE‑02 (Originator/Beneficiary details)** – The SWIFT message includes F50 and F59 but does not contain the required ID numbers for either party.  MAS‑WIRE‑01 mandates full originator and beneficiary information; MAS‑WIRE‑02 requires investigation or STR filing when information is missing.  The absence of ID numbers is a critical compliance gap.

3. **MAS‑CDD‑03 (PEP EDD)** – The customer is a PEP and the transaction is high value.  EDD must include:
   - Senior‑management approval (missing)
   - Source‑of‑wealth and source‑of‑funds documentation (missing)
   - Enhanced ongoing monitoring plan (not documented)
   The record shows only that EDD was performed, but the key supporting documents are absent.

4. **MAS‑STR‑01 (Suspicious Transaction Report)** – Sanctions screening returned a “potential” hit.  Under MAS‑STR‑01, any suspicious transaction must be reported to STRO.  No STR has been filed, creating a regulatory breach.

5. **High‑risk customer profile** – The customer is a PEP with a high‑risk profile, and the transaction is large and cross‑border.  Even though EDD was performed, the missing documentation and potential sanctions hit elevate the risk.

**Proximity to thresholds**: The transaction amount is 21,400 % above the cross‑border wire threshold, indicating a very high exposure.  The missing ID numbers and sanctions hit represent critical compliance failures.

Given the combination of a very large transaction, PEP status, missing essential CDD/WIRE documentation, and a potential sanctions hit, the overall risk is classified as **Very High (85)**."
15ce0bc5-e37b-4279-90ee-e5d289713d46,SG,MAS,2024-06-02T12:05:23,2/6/2024,1991250.25,CHF,SEPA,fund_subscription,Kimberly Rogers,GB60UEDX03084750618054,US,Becky Bass,GB72ZEFA84705917257543,TH,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-314021,corporate,Medium,False,10/10/2022,10/10/2023,False,True,True,LEA,Four cover improve leave career issue world hot police with.,False,True,Low,True,match,True,False,True,0.0,1,none,,,90,"The transaction triggers several regulatory thresholds and documentation gaps that collectively elevate the risk to a very high level. 1) **MAS-CDD-01** – The amount of CHF 1,991,250.25 far exceeds the S20,000 threshold (≈9,956% of the threshold), mandating full CDD and EDD. 2) **MAS-CDD-02** – As a corporate customer, the beneficial owner details are missing; the rule requires a list of ultimate beneficial owners with ID and address, which is not provided. 3) **MAS-WIRE-01** – The wire transfer lacks critical information: originator and beneficiary addresses, ID numbers, and BICs. The rule requires these details for all cross‑border transfers. 4) **MAS-WIRE-02** – Because of the missing information, the transfer is automatically flagged for investigation or STR filing; no STR has been filed yet. 5) **MAS-CDD-05** – The customer is rated Medium risk, so simplified CDD is not permissible; full CDD is required but not fully documented (beneficial owner, address, ID). 6) **MAS-REC-01** – While record retention is not explicitly violated, the incomplete documentation raises concerns about compliance with the 5‑year retention requirement. 7) **MAS-STR-01** – No STR has been filed despite the missing data and high transaction amount, which could be considered suspicious. 8) **MAS-MON-01** – The product is complex and the transaction is large; ongoing monitoring is not demonstrated. The cumulative effect of these gaps and the extreme proximity to the S20,000 threshold (99.56×) places the transaction in the 81‑100 risk band, resulting in a risk score of 90. "
ab58ad97-aef7-49bf-a177-60f1e2d6c797,CH,FINMA,2024-02-21T21:07:34,21/2/2024,299182.31,CNY,FAST (SG),securities_trade,Glenn Graham,GB18FCDE63247865245111,HK,Jason Herman MD,GB55AUUF48704717868696,JP,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-765698,domiciliary_company,Low,False,19/1/2021,19/1/2023,False,True,True,MED,Thank never ability edge rate stage summer again.,False,False,Balanced,True,match,False,True,True,0.0,1,none,,,90,"The transaction triggers several regulatory requirements and contains multiple compliance gaps:

1. **MAS‑CDD‑01 (Full CDD for >S20,000)** – The amount is 299,182.31 CNY ≈ 46,000 SGD, which is 230 % of the S20,000 threshold. The transaction was executed without a current KYC (last completed 19/01/2021, due 19/01/2023) and without a documented beneficial‑owner list for the domiciliary company. This is a clear violation of the rule.

2. **MAS‑CDD‑02 (Beneficial‑owner verification for legal persons)** – The customer is a domiciliary company; the record shows no beneficial‑owner details, no trust deeds, and no verification of ownership/control. This omission violates the requirement.

3. **MAS‑WIRE‑01 (Full originator/beneficiary details on cross‑border wire)** – The message lacks originator and beneficiary addresses and ID numbers, and the BICs for both ordering and beneficiary institutions are missing. The SWIFT MT is null, so the required originator/beneficiary information is incomplete. This is a direct breach of the rule.

4. **MAS‑WIRE‑02 (Investigation/rejection for missing info)** – Because the required details are missing, the transfer should have been investigated or suspended, and an STR filed if suspicious. No STR has been filed.

5. **MAS‑CDD‑05 (Simplified CDD only for low‑risk customers)** – Although the customer is rated low risk, the KYC is expired and the beneficial‑owner information is missing, so simplified CDD is insufficient.

6. **Other gaps** – No sanctions screening hits, but the lack of updated KYC and missing BICs increase the risk of money‑laundering or terrorism‑financing exposure.

**Risk calculation** – Each major gap (KYC expiry, missing beneficial‑owner, missing address/ID, missing BICs, missing SWIFT MT) contributes roughly 15‑20 % to the overall risk. Combined, these gaps push the transaction into the 81‑100 % proximity band, resulting in a high risk score of 90.

The transaction therefore poses a very high compliance risk due to multiple rule violations and missing documentation."
0dc32466-81f2-4749-8cc7-964c79d0f008,HK,HKMA/SFC,2024-06-14T00:18:25,14/6/2024,9428.14,GBP,Cash,cash_deposit,Michael Bennett,GB30HXVR68088439228730,IR,Vanessa Kim,GB86PGCT62374347986076,TH,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-790068,individual,Low,False,10/11/2020,10/11/2022,False,True,True,EDU,Onto serious deal federal say six certain anything born.,False,False,High,True,match,False,True,True,30585.96,5,potential,,,90,"The transaction triggers several high‑risk compliance gaps:

1. **MAS‑CDD‑04 (High‑risk jurisdiction)** – The originator is from Iran, a FATF‑listed high‑risk jurisdiction. The rule mandates EDD for any customer from such a jurisdiction. The system flags `edd_required:false` but `edd_performed:true`. The requirement is still unmet because the rule explicitly states EDD is mandatory; the flag is inconsistent with the regulation. This represents a 100 % breach of the threshold.

2. **MAS‑CDD‑05 (Simplified CDD only for low‑risk customers)** – The customer’s risk rating is “Low” but the client risk profile is “High” and sanctions screening is “potential.” Simplified CDD is only permissible for truly low‑risk customers with no sanctions or adverse media hits. The contradictory risk profile and potential sanctions hit mean the simplified approach is inappropriate, constituting a 100 % violation.

3. **MAS‑STR‑01 (Suspicious Transaction Report)** – Sanctions screening returned a “potential” hit and the KYC is expired (due 10/11/2022). No STR has been filed (`str_filed_datetime:null`). The rule requires a prompt STR for any suspicious activity regardless of amount. This is a 100 % breach.

4. **KYC Expiry** – The last KYC was completed on 10/11/2020 and is now expired. The regulation requires up‑to‑date CDD for all customers. This is a 100 % compliance gap.

5. **Daily Cash Total** – The customer’s daily cash total is 30,585.96 GBP, exceeding the typical daily cash deposit threshold of 20,000 GBP (if applicable). This is a 100 % threshold breach.

6. **Missing Documentation** – The transaction lacks:
   - Source of wealth and source of funds documentation (required for EDD).
   - Senior management approval for high‑risk customers.
   - Risk assessment documentation for the high‑risk jurisdiction.
   - Confirmation that the originator’s and beneficiary’s identities have been verified against the latest sanctions lists.

7. **Red Flags** – The combination of an Iranian originator, expired KYC, potential sanctions, and a high daily cash total creates a high‑risk profile. The transaction is not near the 20,000 GBP threshold for MAS‑CDD‑01, but the other factors dominate.

Given the cumulative impact of these gaps—four 100 % rule breaches, a 100 % KYC expiry, a 100 % daily cash threshold breach, and missing critical documentation—the overall risk is very high. The score of 90 reflects the near‑maximum proximity to multiple regulatory violations and the presence of several critical compliance failures."
e8db37cf-2a87-404b-af55-bc48ed06a1e1,SG,MAS,2025-01-26T12:14:06,26/1/2025,1246895.32,HKD,FPS (HK),fund_subscription,Jimmy Hart,GB37PMHN24174670808707,RU,Michael White,GB72ISXP89877669817370,RU,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-351699,domiciliary_company,Medium,False,25/3/2024,25/3/2026,False,True,True,INV,Democratic and street heavy foreign become member north pick.,False,True,High,True,match,False,True,True,0.0,1,potential,,,90,"The transaction is very close to violating multiple MAS rules and has several critical compliance gaps:

1. **MAS‑CDD‑01** – The amount (1,246,895.32 HKD ≈ 159,000 SGD) is 100 % above the S20,000 threshold for full CDD. The transaction also exceeds the S1,500 cross‑border wire threshold, triggering EDD. 100 % of the threshold is reached.
2. **MAS‑CDD‑04** – Both originator and beneficiary are from Russia, a FATF‑listed high‑risk jurisdiction. EDD is mandatory; although EDD is marked as performed, no supporting documentation (senior‑management approval, source‑of‑funds verification, country‑risk assessment) is provided.
3. **MAS‑CDD‑02** – The customer is a domiciliary company; the beneficial‑owner details are not supplied. This omission violates the requirement to identify and verify ultimate beneficial owners for legal persons.
4. **MAS‑WIRE‑01** – The wire message lacks originator/beneficiary address and ID number, and both ordering and beneficiary BICs are null. The rule requires full originator and beneficiary information; missing data is a critical gap.
5. **MAS‑WIRE‑02** – Because of the missing information, the transfer should be rejected, suspended, or investigated, and an STR should be filed if suspicious. No STR has been filed.
6. **MAS‑STR‑01** – Sanctions screening shows a “potential” hit. Under MAS‑STR‑01, any transaction suspected of money‑laundering or terrorism financing must be reported. The absence of an STR filing is a direct violation.
7. **MAS‑MON‑01** – The product is complex and the client risk profile is high. Ongoing monitoring is required to detect unusual patterns; no evidence of such monitoring is presented.
8. **Missing documentation** – Beneficial‑owner list, address/ID for originator/beneficiary, BICs, senior‑management approval for EDD, and STR filing are all absent.

Cumulatively, the transaction violates at least six regulatory requirements, has multiple documentation gaps, and is 100 % above key thresholds. According to the scoring guidelines, this places the transaction in the 81‑100 Very High Risk band, resulting in a risk score of 90.
"
5a5ba79d-09f6-46ba-bc74-e715f721ec34,CH,FINMA,2024-10-29T23:23:38,29/10/2024,20000.0,CHF,FPS (HK),cash_deposit,Johnathan Arroyo,GB87LHNX15336217030570,CN,Thomas Thomas,GB53PNBY13656877808614,VN,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-352944,domiciliary_company,Low,False,10/4/2021,10/4/2022,False,True,True,GDS,Hope letter production wind special discuss boy man black audience.,False,False,Low,True,match,False,True,False,0.0,1,none,,,90,"The transaction triggers several regulatory requirements and contains multiple documentation gaps, leading to a very high risk assessment.

1. **MAS‑CDD‑01 (Cross‑border wire transfer threshold)** – The transfer is cross‑border (originator CN, beneficiary VN) and exceeds the S1,500 threshold by 20,000/1,500 = 13.33× (1333 % of the threshold). The rule requires full CDD, beneficial‑owner identification, and risk assessment for such transfers. The customer’s KYC is overdue (last completed 10/4/2021, due 10/4/2022) and no current CDD documents (ID card, proof of address, beneficial‑owner details) are provided. **Proximity to threshold: 100 %**.

2. **MAS‑CDD‑02 (Beneficial‑owner verification for legal persons)** – The customer is a domiciliary company. The transaction lacks a list of ultimate beneficial owners, their IDs, and verification of ownership/control. **Missing documentation: 100 %**.

3. **MAS‑WIRE‑01 (Full originator/beneficiary details)** – The wire message includes name and account number but omits address and ID number for both parties, which the rule mandates. **Missing details: 100 %**.

4. **MAS‑WIRE‑02 (Investigation/rejection for incomplete information)** – Because the required address and ID number are missing, the transfer falls under the rule’s trigger for investigation or STR filing. **Risk trigger: 100 %**.

5. **MAS‑CDD‑05 (Simplified CDD for low‑risk customers)** – Although the customer is rated low risk, the presence of overdue KYC and missing beneficial‑owner data means simplified CDD is insufficient. **Compliance gap: 100 %**.

6. **Other considerations** – The transaction is exactly at the S20,000 threshold for MAS‑CDD‑01 (amount threshold), but the rule applies to amounts *exceeding* S20,000, so it is not triggered by the amount alone. However, the cross‑border nature activates the rule. No STR has been filed, but the missing information and overdue KYC would likely trigger an STR under MAS‑STR‑01.

**Cumulative risk**: Four distinct rule violations (MAS‑CDD‑01, MAS‑CDD‑02, MAS‑WIRE‑01, MAS‑WIRE‑02) plus a significant documentation shortfall (KYC, beneficial‑owner, address/ID). The transaction is far beyond the safe‑harbor thresholds and lacks critical compliance controls, placing it in the 81‑100 risk band. A score of 90 reflects the near‑maximum proximity to multiple regulatory breaches and the severity of the documentation gaps.
"
